Dataset x,Dataset y
2.506805090112E2,6.087785502385E3
2.516428450437E2,5.917793184005E3
2.533536646572E2,5.675304141610E3
2.557060416256E2,5.410316115899E3
2.593415333041E2,5.157827525364E3
2.628700987568E2,4.937837466283E3
2.663986642095E2,4.662849892433E3
2.694995247588E2,4.387862623744E3
2.717449755015E2,4.157873016524E3
2.744181311474E2,3.877885668603E3
2.765566556642E2,3.500402726317E3
2.785882539551E2,3.160418089557E3
2.804059997944E2,2.872931080531E3
2.820098931820E2,2.600443393716E3
2.842553439246E2,2.180462371835E3
2.857523110863E2,1.875476153564E3
2.890670240874E2,1.335500554003E3
2.914194010558E2,9.780167079974E2
2.953756714118E2,6.705306026918E2
2.985834581870E2,4.805391880314E2
3.032882121239E2,2.630490159860E2
3.082068185125E2,1.355547772007E2
3.129115724494E2,7.305760132561E1
3.198617771290E2,5.555839208057E1
