Dataset 2 x,Dataset 2 y
2.003312926017E2,6.027688350559E4
2.024254011030E2,5.913267218577E4
2.046358489656E2,5.494416527308E4
2.071953149116E2,4.984384635018E4
2.089404053294E2,4.528924954713E4
2.111508531919E2,4.024094780485E4
2.127796042485E2,3.598451936522E4
2.153390701946E2,3.176979078531E4
2.176658574183E2,2.804871718026E4
2.196436265584E2,2.398498827810E4
2.222030925045E2,2.084021089611E4
2.255769339789E2,1.737124332308E4
2.284854180085E2,1.504548760739E4
2.313939020381E2,1.307280686799E4
2.346514041513E2,1.143156924263E4
2.387232817928E2,9.666673865388E3
2.423298019895E2,8.266155555690E3
2.450056072968E2,7.474916201967E3
2.480304306876E2,6.588876537615E3
