HSO3m x,HSO3m y
2.009997747051E2,9.239295143311E2
2.009505686647E2,9.383770194145E2
2.007791797609E2,9.580947063071E2
2.006322749861E2,9.753250166772E2
2.004444766382E2,1.001282347022E3
2.002483187620E2,1.037191587652E3
2.000442100458E2,1.066374398967E3
1.998973052711E2,1.085552004004E3
1.997504004963E2,1.105074497791E3
1.996034957216E2,1.124948082786E3
1.994320325109E2,1.152027905839E3
1.992360108641E2,1.186815240514E3
1.991074691862E2,1.205470043744E3
1.989714670939E2,1.231206534978E3
1.987216212318E2,1.274602226304E3
1.985501580211E2,1.305284533585E3
1.983541363743E2,1.344699698517E3
1.982072315996E2,1.368882686908E3
1.980603268249E2,1.393500580526E3
1.979134220501E2,1.418561200677E3
1.977665172754E2,1.444072509325E3
1.976196125007E2,1.470042611622E3
1.974727077260E2,1.496479758481E3
1.973258029513E2,1.523392349200E3
1.971788981766E2,1.550788934130E3
1.970319339563E2,1.582461564182E3
1.969144249979E2,1.604227735325E3
1.967381838524E2,1.635970480861E3
1.965912790777E2,1.665391663293E3
1.964443743030E2,1.695341954279E3
1.962974695282E2,1.725830869272E3
1.961505647535E2,1.756868094850E3
1.960036599788E2,1.788463491791E3
1.958567552041E2,1.820627098214E3
1.956087016249E2,1.860093521936E3
1.954311326148E2,1.886482113269E3
1.952655879499E2,1.914639664489E3
1.949668973649E2,1.967856823095E3
1.945748568578E2,2.037572624897E3
1.941409914022E2,2.106464053414E3
1.939634223921E2,2.136347829906E3
1.937224840717E2,2.179474080748E3
1.933254719453E2,2.235873591371E3
1.929164890189E2,2.274847611687E3
1.925882084465E2,2.316941399835E3
1.923667556997E2,2.345720068053E3
1.921218195787E2,2.380702265525E3
1.919551033415E2,2.394607838864E3
1.915657355392E2,2.442090483555E3
1.911142661734E2,2.487648408454E3
1.906961166042E2,2.535276867660E3
1.905269708404E2,2.545922992103E3
1.903346041651E2,2.559814952176E3
1.901361164575E2,2.575694901470E3
1.899406892660E2,2.590711159573E3
1.897483458116E2,2.602413052357E3
1.895596526845E2,2.615349723035E3
1.894130822909E2,2.626776993341E3
1.891835110711E2,2.638851801380E3
1.890370521379E2,2.638513196413E3
1.888027178448E2,2.637971518834E3
1.884512164050E2,2.637159210968E3
1.883047574718E2,2.636820823186E3
1.881582985386E2,2.636482478824E3
1.880118396054E2,2.636144177876E3
1.878653806721E2,2.635805920338E3
1.877189774691E2,2.629560196683E3
1.875726299963E2,2.617448971979E3
1.874262267932E2,2.611246746378E3
1.872602400022E2,2.610867011766E3
1.868798628946E2,2.566628284737E3
