HSO3m x,HSO3m y
2.246443982089E2,1.206951465755E0
2.245194545338E2,1.259639727776E0
2.244504432232E2,1.293685446808E0
2.243716580761E2,1.329170149921E0
2.242014546772E2,1.392822722655E0
2.240753053725E2,1.452753844249E0
2.239341810567E2,1.498187588890E0
2.239337352152E2,1.525326615805E0
2.239332893737E2,1.552957254576E0
2.237863845990E2,1.580885532763E0
2.237859387575E2,1.609522597534E0
2.236390339828E2,1.638468143023E0
2.236385881413E2,1.668148292132E0
2.236381422998E2,1.698366084439E0
2.234912375251E2,1.728909385184E0
2.234907916836E2,1.760227838684E0
2.234903458421E2,1.792113612564E0
2.233434410673E2,1.824342862512E0
2.233429952258E2,1.857390052606E0
2.231956446096E2,1.925044139687E0
2.231951987681E2,1.959915490315E0
2.230482939934E2,1.995162477878E0
2.230478481519E2,2.031303992190E0
2.230474023104E2,2.068100194564E0
2.229004975357E2,2.105292768528E0
2.229000516942E2,2.143429245917E0
2.228996058527E2,2.182256549271E0
2.227527010780E2,2.221502103394E0
2.227522552365E2,2.261743663143E0
2.224579998456E2,2.386282641602E0
2.224575540041E2,2.429509130271E0
2.223102033879E2,2.518002240285E0
2.223097575464E2,2.563614773106E0
2.221624069302E2,2.656992584007E0
2.221619610887E2,2.705122867413E0
2.220150563139E2,2.753771614022E0
2.220146104724E2,2.803655008134E0
2.220141646309E2,2.854442018578E0
2.218672598562E2,2.905776110698E0
2.218668140147E2,2.958413001206E0
2.218663681732E2,3.012003386455E0
2.217194633985E2,3.066171051554E0
2.217190175570E2,3.121713427762E0
2.215721127823E2,3.177854110821E0
2.215716669408E2,3.235419577845E0
2.215712210993E2,3.294027818665E0
2.214243163246E2,3.353267392070E0
2.214238704831E2,3.414010395603E0
2.214234246416E2,3.475853732645E0
2.212765198669E2,3.538363250984E0
2.212760740254E2,3.602459186776E0
2.211291692507E2,3.667245569036E0
2.211287234092E2,3.733676152855E0
2.211282775677E2,3.801310098266E0
2.209813727930E2,3.869672601863E0
2.209809269515E2,3.939770064738E0
2.209804811100E2,4.011137313150E0
2.209800352685E2,4.083797348720E0
2.208084234439E2,4.207204154546E0
2.206857798775E2,4.308664542262E0
2.206853340361E2,4.386714156239E0
2.205379834198E2,4.546497041427E0
2.205375375783E2,4.628854889329E0
2.203901869621E2,4.797457575301E0
2.202428363459E2,4.972201491966E0
2.202423905044E2,5.062270793778E0
2.200950398882E2,5.246660340082E0
2.200945940467E2,5.341701346453E0
2.200941482052E2,5.438463979974E0
2.199472434305E2,5.536268948205E0
2.197998928143E2,5.737923533896E0
2.197994469728E2,5.841863562751E0
2.196516505151E2,6.164326589817E0
2.195042998989E2,6.388857720108E0
2.195038540574E2,6.504589143132E0
2.193569492826E2,6.621567234159E0
2.193565034412E2,6.741514090425E0
2.193560575997E2,6.863633732652E0
2.192091528249E2,6.987068857282E0
2.192087069834E2,7.113636619008E0
2.192082611419E2,7.242497101564E0
2.190613563672E2,7.372745679385E0
2.190609105257E2,7.506299811665E0
2.189140057510E2,7.641292599575E0
2.189135599095E2,7.779711344370E0
2.187657634518E2,8.209140967787E0
2.187653176103E2,8.357846042720E0
2.186184128356E2,8.508152980431E0
2.186179669941E2,8.662274529989E0
2.184710622194E2,8.818056289017E0
2.184706163779E2,8.977791604364E0
2.183232657617E2,9.304801159597E0
2.183228199202E2,9.473353649937E0
2.183223740787E2,9.644959396496E0
2.181750234625E2,9.996270055227E0
2.180276728463E2,1.036037695020E1
2.180272270048E2,1.054805074417E1
2.178798763885E2,1.093225585100E1
2.178794305470E2,1.113028898649E1
2.177325257723E2,1.133045535051E1
2.177320799308E2,1.153570169949E1
2.175847293146E2,1.195588127686E1
2.174373786984E2,1.239136559094E1
2.172900280822E2,1.284271210567E1
2.172895822407E2,1.307535233849E1
2.171422316245E2,1.355161257499E1
2.171417857830E2,1.379709423639E1
2.169948810083E2,1.404522024557E1
2.169882088664E2,1.437105403170E1
2.168470845506E2,1.482049755008E1
2.168466387091E2,1.508896451969E1
2.166992880929E2,1.563856912112E1
2.166988422514E2,1.592185510709E1
2.165514916351E2,1.650179714479E1
2.164041410189E2,1.710286315107E1
2.164036951774E2,1.741267419664E1
2.162563445612E2,1.804691823965E1
2.159616433288E2,1.938555343427E1
2.159611974873E2,1.973671443728E1
2.159607516458E2,2.009423657155E1
2.158138468711E2,2.045560996240E1
2.158134010296E2,2.082615458140E1
2.158129551881E2,2.120341145758E1
2.156660504134E2,2.158473217454E1
2.156656045719E2,2.197573035912E1
2.155182539557E2,2.277618041715E1
2.155178081142E2,2.318876117668E1
2.153709033395E2,2.360578628865E1
2.153704574980E2,2.403339500346E1
2.153700116565E2,2.446874966711E1
2.152231068817E2,2.490879400548E1
2.152226610402E2,2.536000614736E1
2.150757562655E2,2.581607878197E1
2.150753104240E2,2.628372599923E1
2.150748645825E2,2.675984444568E1
2.149275139663E2,2.773455239346E1
2.149270681248E2,2.823695193905E1
2.147797175086E2,2.926546245718E1
2.146323668924E2,3.033143572584E1
2.146319210509E2,3.088087670147E1
2.144845704347E2,3.200569026369E1
2.144841245932E2,3.258545964365E1
2.143367739770E2,3.377236140465E1
2.141894233608E2,3.500249520245E1
2.141827512189E2,3.581451490283E1
2.140416269031E2,3.693458595339E1
2.140349547611E2,3.779142805125E1
2.138938304453E2,3.897332552032E1
2.137469256706E2,3.967421916940E1
2.137464798291E2,4.039290066819E1
2.137398076872E2,4.132997189435E1
2.135986833714E2,4.262253456524E1
2.135982375299E2,4.339462353548E1
2.134266257053E2,4.470595008360E1
2.133039821390E2,4.578407295620E1
2.133035362975E2,4.661343184118E1
2.133030904560E2,4.745781420737E1
2.131561856813E2,4.831129232692E1
2.131495135394E2,4.943206160046E1
2.130021629232E2,5.123258863322E1
2.128610386074E2,5.283484792751E1
2.128605927659E2,5.379192858321E1
2.127136879912E2,5.475931898710E1
2.127132421497E2,5.575126061232E1
2.127127963082E2,5.676117083551E1
2.125658915334E2,5.778195989115E1
2.125654456919E2,5.882865536259E1
2.124185409172E2,5.988662592007E1
2.124180950757E2,6.097144651578E1
2.124176492342E2,6.207591817226E1
2.122707444595E2,6.319228728439E1
2.122640723176E2,6.465827940553E1
2.121167217014E2,6.701341039122E1
2.119755973856E2,6.910920259118E1
2.119751515441E2,7.036108621581E1
2.118282467694E2,7.162645522944E1
2.118215746275E2,7.328811084508E1
2.116742240113E2,7.595757718908E1
2.115330996955E2,7.833309123726E1
2.115326538540E2,7.975206165668E1
2.113857490792E2,8.118631733721E1
2.113853032377E2,8.265697272619E1
2.113848573963E2,8.415426840807E1
2.112132455717E2,8.669729603016E1
2.110906020053E2,8.878807673535E1
2.110839298634E2,9.084786324631E1
2.109428055476E2,9.368905938994E1
2.109361334057E2,9.586254335143E1
2.107950090899E2,9.886056970841E1
2.106481043152E2,1.006384715048E2
2.106414321733E2,1.029731742454E2
2.105003078575E2,1.061935800437E2
2.104998620160E2,1.081172312930E2
2.103282501914E2,1.113843870868E2
2.101993803246E2,1.146401723876E2
2.100582560088E2,1.182254544630E2
2.099113512341E2,1.203516130365E2
2.099109053926E2,1.225317309935E2
2.099104595511E2,1.247513408541E2
2.097635547764E2,1.269948605269E2
2.097568826345E2,1.299410027375E2
2.096095320183E2,1.346740096266E2
2.094621814021E2,1.395794128627E2
2.093210570863E2,1.439446502539E2
2.093206112448E2,1.465521459817E2
2.091489994202E2,1.509807526627E2
2.090213351832E2,1.554871309312E2
2.089523238725E2,1.596896588891E2
2.088784603202E2,1.638089029734E2
2.087037811681E2,1.688679730303E2
2.085776318633E2,1.761341145575E2
2.084314868768E2,1.826591406112E2
2.082644498814E2,1.905213715982E2
2.081367856444E2,1.962079333189E2
2.080677743338E2,2.015110688286E2
2.079877835569E2,2.069142687547E2
2.078404329407E2,2.144509710952E2
2.076930823245E2,2.222621923584E2
2.075469373380E2,2.304960691377E2
2.073799003426E2,2.404173538382E2
2.072522361056E2,2.475931793630E2
2.071832247950E2,2.542851625016E2
2.071092977722E2,2.615120281066E2
2.069069145245E2,2.722333120830E2
2.068085327857E2,2.804708348299E2
2.066672459236E2,2.911416900882E2
2.064648626759E2,3.030777098553E2
2.063676865668E2,3.124357992570E2
2.062250346247E2,3.262161930593E2
2.060535218760E2,3.347359285040E2
2.059701123617E2,3.403671400226E2
2.057605041596E2,3.572866165469E2
2.056116929481E2,3.693318254966E2
2.054840287110E2,3.803554088536E2
2.053184523110E2,3.977676672866E2
2.051696410994E2,4.111776144944E2
2.050407712327E2,4.231964087644E2
2.048994843705E2,4.392974326961E2
2.047278121715E2,4.536739741182E2
2.046444026573E2,4.613060622545E2
2.044577189131E2,4.834628726487E2
2.042862061644E2,4.960893941395E2
2.042027966502E2,5.044350304237E2
2.040161129060E2,5.286633513581E2
2.038212120552E2,5.468185047095E2
2.037664726264E2,5.608633272941E2
2.035515824409E2,5.790158309668E2
2.034027712294E2,5.985362001780E2
2.032800285871E2,6.154207113664E2
2.031329008917E2,6.321372136996E2
2.029613881430E2,6.486466388602E2
2.028779786287E2,6.595587224258E2
2.026912948845E2,6.912377285182E2
2.025197821358E2,7.092906722460E2
2.024424936539E2,7.206875277021E2
2.022255267449E2,7.483465286594E2
2.021763504273E2,7.591393338895E2
2.021271443869E2,7.710100114848E2
2.019312713540E2,7.895529278331E2
2.018539828720E2,8.022394341494E2
2.016615000922E2,8.305572897324E2
2.014901111883E2,8.480094099852E2
2.014128227064E2,8.616351928261E2
2.012203399265E2,8.920496301089E2
2.010489510227E2,9.107938607701E2
