Line 2 x,Line 2 y
2.542056512037E0,1.324079798793E1
2.551577621104E0,1.366916272535E1
2.560743654550E0,1.416585653390E1
2.588338831040E0,1.603189834808E1
2.600564232784E0,1.769917276520E1
2.608635451148E0,1.951225197129E1
2.616674847484E0,2.170682453905E1
2.628282143789E0,2.573175840716E1
2.648266069380E0,3.414350610188E1
2.655352107699E0,3.783924698954E1
2.662898135708E0,4.239597922284E1
2.668345952095E0,4.632911583198E1
2.672940710055E0,5.061774551421E1
2.676653071887E0,5.440430361011E1
2.679949767579E0,5.828600636417E1
2.682957042800E0,6.194523242224E1
2.686078969463E0,6.625042611054E1
2.690242143812E0,7.168870890579E1
2.693364978672E0,7.554093941037E1
2.696486905335E0,7.984613309867E1
2.700650079684E0,8.528441589392E1
2.703772914544E0,8.913664639850E1
2.706930632993E0,9.366205417430E1
2.709790657129E0,9.775443557951E1
2.712784018438E0,1.018475331358E2
2.715687344643E0,1.060286482123E2
2.717933827929E0,1.098406723554E2
2.720250865136E0,1.144001327832E2
2.722947361041E0,1.274569560291E2
2.725022367884E0,1.320185870212E2
2.728109237395E0,1.381623299517E2
2.730772727815E0,1.436668430766E2
2.732729778737E0,1.509798606076E2
2.733987882692E0,1.554507441772E2
2.735913791816E0,1.598707620717E2
2.738489927362E0,1.653469324515E2
2.740893462652E0,1.703902234775E2
2.742582987735E0,1.753383378316E2
2.744401003210E0,1.863704057804E2
2.745090405706E0,1.887266718520E2
2.746832756294E0,1.932100180850E2
2.748756582337E0,1.977927851148E2
2.750775802227E0,2.024186612221E2
2.752962602521E0,2.073618929369E2
2.756471263668E0,2.189451667781E2
2.758311270481E0,2.283029008361E2
2.759305241803E0,2.325263706290E2
2.760585302012E0,2.374370099696E2
2.762098535668E0,2.422160792538E2
2.763538927218E0,2.462624173758E2
2.765411002029E0,2.522761942477E2
2.767625488676E0,2.630624915575E2
2.768407869986E0,2.675284701473E2
2.769247226496E0,2.717975643374E2
2.770382475504E0,2.758024267109E2
2.771902572533E0,2.802563371926E2
2.774690151932E0,2.867128905771E2
2.776634909521E0,2.926188663739E2
2.778475846154E0,3.038363139250E2
2.778910388073E0,3.083020654656E2
2.779600670557E0,3.125710623489E2
2.780578563649E0,3.165758220096E2
2.781803825383E0,3.210295400401E2
2.784245815340E0,3.278094133988E2
2.786580016386E0,3.356838788591E2
2.787842166737E0,3.412658635351E2
2.788606754958E0,3.471710689863E2
2.789254750165E0,3.536051953144E2
2.789945032649E0,3.578741921976E2
2.790922925741E0,3.618789518584E2
2.792358535956E0,3.674400519792E2
2.793699874225E0,3.731119621096E2
2.793981901781E0,3.770216549863E2
2.794189732899E0,3.817940875777E2
2.794832363258E0,3.865668039807E2
2.795910279391E0,3.910971453467E2
2.797205595145E0,3.956276286185E2
2.798282700388E0,4.005624013986E2
2.798923871144E0,4.060630943467E2
2.799571866351E0,4.124972206748E2
2.800262148835E0,4.167662175580E2
2.801240041927E0,4.207709772188E2
2.802465303662E0,4.252246952493E2
2.804907293618E0,4.320045686079E2
2.807241494665E0,4.398790340682E2
2.808504455906E0,4.450565873302E2
2.809270990263E0,4.499911573878E2
2.809467468920E0,4.604256297757E2
