SO3mm x,SO3mm y
2.560503488434E2,1.067542669568E0
2.559763515386E2,1.100993987825E0
2.558700864552E2,1.122792128399E0
2.557965226075E2,1.137939005740E0
2.557229030296E2,1.155881175319E0
2.556816503062E2,1.182660523995E0
2.555750074960E2,1.224559834778E0
2.554034947473E2,1.256541465520E0
2.552758305102E2,1.294045922570E0
2.552068191996E2,1.329021577056E0
2.551329556473E2,1.363304099213E0
2.549614428986E2,1.398909291424E0
2.548387993323E2,1.432645205792E0
2.547975466089E2,1.465836598051E0
2.546909037987E2,1.517768274075E0
2.545193910500E2,1.557407582106E0
2.543905211832E2,1.602930880710E0
2.542493968674E2,1.653061295164E0
2.542488519500E2,1.689733446204E0
2.540773392013E2,1.733863940766E0
2.539546956350E2,1.775677577855E0
2.539134429116E2,1.816816312535E0
2.537660922954E2,1.882992530528E0
2.536187416792E2,1.951579169319E0
2.534713910630E2,2.022664026741E0
2.533586210282E2,2.096401615677E0
2.531766898306E2,2.172695695148E0
2.530293392143E2,2.251834561835E0
2.529226964041E2,2.331612582851E0
2.527511836554E2,2.392506930796E0
2.526284410132E2,2.459998771773E0
2.524569282645E2,2.524246161006E0
2.523342846981E2,2.585120552830E0
2.522930319748E2,2.645012387849E0
2.521802619400E2,2.741438108387E0
2.519983307424E2,2.841206919545E0
2.518917870080E2,2.930152230551E0
2.518505342846E2,2.998037727721E0
2.517442692012E2,3.057394680217E0
2.516707053535E2,3.098640055059E0
2.515908594752E2,3.163215296949E0
2.514435088590E2,3.278433122551E0
2.512961582427E2,3.397847673981E0
2.511488076265E2,3.521611813937E0
2.510014570103E2,3.649883973030E0
2.508541063941E2,3.782828352591E0
2.507067557779E2,3.920615134866E0
2.505594051617E2,4.063420700866E0
2.504182808459E2,4.190501017482E0
2.503770281225E2,4.287586159338E0
2.502707630391E2,4.372474366590E0
2.501971991914E2,4.431460648409E0
2.501173533130E2,4.523811692162E0
2.499762289972E2,4.665290378341E0
2.499349762739E2,4.773375396407E0
2.498287111905E2,4.867881550892E0
2.497551473427E2,4.933551057206E0
2.496753014644E2,5.036365597532E0
2.495341771486E2,5.193874007771E0
2.494929244252E2,5.314205202710E0
2.493866593418E2,5.419419030693E0
2.493130954941E2,5.492528979760E0
2.492332496158E2,5.606992544794E0
2.490858989995E2,5.811223186255E0
2.489385483833E2,6.022892780877E0
2.487911977671E2,6.242272287139E0
2.486438471509E2,6.469642532987E0
2.484619159532E2,6.705091417337E0
2.483491459185E2,6.949530072581E0
2.481672147208E2,7.202443443606E0
2.480198641046E2,7.464787228233E0
2.478725134884E2,7.736686695160E0
2.477251628722E2,8.018489903193E0
2.476188977888E2,8.177244784718E0
2.475453339410E2,8.287558814015E0
2.474717143631E2,8.418230831481E0
2.474304616397E2,8.613263628524E0
2.472831110235E2,8.926995516318E0
2.471035607433E2,9.123604380294E0
2.470234362140E2,9.418830360912E0
2.468823118982E2,9.713396942256E0
2.468410591749E2,9.938436028539E0
2.466615088947E2,1.015732093934E1
2.465813843654E2,1.048599641777E1
2.464340337492E2,1.086794124071E1
2.462521025515E2,1.126345685495E1
2.461047519353E2,1.167372011108E1
2.459574013191E2,1.209892690911E1
2.457778510389E2,1.236539464404E1
2.457042314610E2,1.256036292133E1
2.456306676132E2,1.272980682080E1
2.455508217349E2,1.299509428242E1
2.453688905372E2,1.346802310889E1
2.452215399210E2,1.395858609373E1
2.450741893048E2,1.446701747990E1
2.449679242214E2,1.475344418540E1
2.448943603737E2,1.495247355494E1
2.448145144953E2,1.526408109228E1
2.446325832977E2,1.581958486942E1
2.444852326815E2,1.639580178780E1
2.443378820652E2,1.699300698999E1
2.441583317850E2,1.736726233645E1
2.440782072558E2,1.792924056789E1
2.439308566396E2,1.858230016674E1
2.437489254419E2,1.925856347196E1
2.436015748257E2,1.996004269457E1
2.434542242095E2,2.068707278967E1
2.432746739292E2,2.114268653707E1
2.431599688185E2,2.182617044893E1
2.430126182023E2,2.262117289557E1
2.428330679221E2,2.311938341855E1
2.427183628114E2,2.386676841104E1
2.425710121952E2,2.473609816015E1
2.424647471118E2,2.522583829578E1
2.423911832640E2,2.556614410025E1
2.422767568042E2,2.609814835448E1
2.421294061880E2,2.704875450150E1
2.420231411046E2,2.758428199709E1
2.419495772569E2,2.795640407152E1
2.418697313786E2,2.853901177142E1
2.416878001809E2,2.957762842570E1
2.415815350975E2,3.016322408688E1
2.415079712497E2,3.057013703533E1
2.413935447900E2,3.120626905788E1
2.412807747552E2,3.234391476155E1
2.410988435575E2,3.352100277025E1
2.409925784741E2,3.418467172633E1
2.409190146264E2,3.464583547739E1
2.408452959726E2,3.533278209435E1
2.406737832239E2,3.625556263797E1
2.405449133571E2,3.731531913523E1
2.404036899654E2,3.863615605572E1
2.402321772167E2,3.964521028172E1
2.401033073500E2,4.080404677809E1
2.399620839583E2,4.224837293525E1
2.397905712096E2,4.335176684406E1
2.396678285674E2,4.457470606160E1
2.394977764140E2,4.585882200618E1
2.393734493316E2,4.726424500959E1
2.392020604277E2,4.825738696110E1
2.390793177855E2,4.961871212376E1
2.389078050368E2,5.091459598666E1
2.387789351700E2,5.240283861693E1
