SO3mm x,SO3mm y
2.386377117783E2,5.425772303405E1
2.384661990297E2,5.567476319305E1
2.383373291629E2,5.730214635123E1
2.381961057712E2,5.933044980080E1
2.380245930225E2,6.087997354265E1
2.379018503803E2,6.259737776001E1
2.377547226848E2,6.429769299486E1
2.375668686066E2,6.615720790617E1
2.374606221000E2,6.741658030904E1
2.373870582522E2,6.832605468716E1
2.373133395984E2,6.968080198854E1
2.371418268497E2,7.150064420100E1
2.370129569830E2,7.359062065530E1
2.368717335913E2,7.619548136708E1
2.367247049717E2,7.795354634600E1
2.365547766632E2,7.980030421061E1
2.364304495808E2,8.224592270471E1
2.362590606769E2,8.397411864145E1
2.361301908102E2,8.642869695598E1
2.359889674185E2,8.948798243376E1
2.358174546698E2,9.182512556779E1
2.356947120275E2,9.441548244104E1
2.355246598742E2,9.713542020688E1
2.354003327918E2,1.001123033459E2
2.352289438879E2,1.022159173631E2
2.351062012457E2,1.050993950873E2
2.349346884970E2,1.078442589555E2
2.347712380488E2,1.109932026959E2
2.346894756712E2,1.127705712695E2
2.344935283313E2,1.158287724397E2
2.343300778831E2,1.192108559319E2
2.341505276029E2,1.218363653674E2
2.340769080250E2,1.237573898838E2
2.340033441773E2,1.254269224333E2
2.339296255235E2,1.279138475963E2
2.337581127748E2,1.312545528231E2
2.335946623266E2,1.350870535656E2
2.335128999490E2,1.372502444446E2
2.333169526091E2,1.409723046723E2
2.331942099669E2,1.449490874547E2
2.330471813473E2,1.482935103760E2
2.328757924435E2,1.514095340480E2
2.327530498012E2,1.556807476703E2
2.325829976479E2,1.601656259345E2
2.324586705654E2,1.650741788627E2
2.322872816616E2,1.685428070426E2
2.321645390194E2,1.732973447136E2
2.320175103998E2,1.772958494440E2
2.318461214960E2,1.810212859949E2
2.317233788537E2,1.861278374914E2
2.315763502341E2,1.904223812993E2
2.314293463835E2,1.946218088920E2
2.312414923054E2,2.002503491840E2
2.311597485045E2,2.033048872958E2
2.309652617600E2,2.093659656616E2
2.308409346776E2,2.157823481895E2
2.306940299029E2,2.196629633388E2
2.305470260522E2,2.245072400622E2
2.303591719741E2,2.310000789363E2
2.302774281732E2,2.345236610315E2
2.300829414287E2,2.415154569842E2
2.299586143463E2,2.489171163394E2
2.298117095716E2,2.533936249171E2
2.296648047968E2,2.579506387221E2
2.295178009462E2,2.636392821600E2
2.293299468681E2,2.712638352901E2
2.292482030672E2,2.754015844956E2
2.290766407806E2,2.831584612408E2
2.289296121610E2,2.896918010828E2
2.287582232572E2,2.957789623313E2
2.286809347752E2,3.005315274115E2
2.284884519954E2,3.111398421230E2
2.283007217621E2,3.185456415216E2
2.282189779612E2,3.234046083416E2
2.280475147505E2,3.311896250036E2
2.279006099757E2,3.371457168102E2
2.277536061251E2,3.445808671128E2
2.276065775056E2,3.525314114759E2
2.274596727308E2,3.588713125264E2
2.273127679561E2,3.653252299283E2
2.271250377228E2,3.740207584393E2
2.270432939220E2,3.797259203325E2
2.268717316353E2,3.904211643935E2
2.267247030158E2,3.994293859289E2
2.265369727825E2,4.089366669183E2
2.264552289816E2,4.151744220059E2
2.262836666950E2,4.268680977164E2
2.261366380754E2,4.367172625192E2
2.259897333007E2,4.445711562185E2
2.258428285260E2,4.525662938107E2
2.256959237513E2,4.607052154163E2
2.255490189765E2,4.689905068374E2
2.254021142018E2,4.774248003788E2
2.252307252980E2,4.874567092319E2
2.251815489804E2,4.944869086374E2
2.251323429400E2,5.022192107399E2
2.249609540362E2,5.127721131915E2
2.248140492615E2,5.219937721792E2
2.246671444867E2,5.313812728581E2
2.245202397120E2,5.409375977141E2
2.243733349373E2,5.506657828696E2
2.241855365893E2,5.653212191508E2
2.239080621771E2,5.843868799624E2
2.237080465335E2,6.002326040808E2
2.234919062890E2,6.128209879582E2
2.233450015143E2,6.238419191400E2
2.231980967396E2,6.350610500025E2
2.230511919648E2,6.464819449552E2
2.229042871901E2,6.581082325100E2
2.227573824154E2,6.699436064335E2
2.225859192047E2,6.860705322849E2
2.223859035611E2,7.046734214891E2
2.221452048805E2,7.237549313801E2
2.219451892369E2,7.433796378293E2
2.217044905564E2,7.635092545843E2
2.215084689096E2,7.865646439822E2
2.213615641349E2,8.007101693178E2
2.212146593601E2,8.151100868240E2
2.210637605886E2,8.272870010346E2
2.208230619081E2,8.496887045919E2
2.206230462645E2,8.727281212201E2
2.204069060199E2,8.910314198676E2
2.202600012452E2,9.070556686322E2
2.201130964705E2,9.233680964023E2
2.199661916958E2,9.399738857696E2
2.198192869211E2,9.568783125293E2
2.196723821464E2,9.740867473561E2
2.195254773716E2,9.916046575103E2
2.193376790236E2,1.017995254723E3
2.190847630475E2,1.046071398027E3
2.189378582728E2,1.064883875269E3
2.187909534980E2,1.084034674828E3
2.186440487233E2,1.103529881070E3
2.184971439486E2,1.123375687782E3
2.183502391739E2,1.143578400140E3
2.181346817742E2,1.164074413619E3
2.179099706912E2,1.184928267593E3
2.177630659165E2,1.206237937381E3
2.176161611418E2,1.227930838828E3
2.174692563671E2,1.250013863947E3
2.173223515924E2,1.272494028696E3
2.171754468177E2,1.295378475207E3
2.170285420429E2,1.318674474055E3
2.168816372682E2,1.342389426570E3
2.167347324935E2,1.366530867187E3
2.165878277188E2,1.391106465838E3
2.164409229441E2,1.416124030393E3
2.162940181694E2,1.441591509135E3
2.161471133946E2,1.467516993292E3
2.159513146686E2,1.498321211000E3
2.158290054834E2,1.513932574826E3
2.154537183996E2,1.575819906065E3
2.152661305878E2,1.604102164722E3
2.151192258131E2,1.632950229513E3
2.149723210384E2,1.662317095949E3
2.148254162637E2,1.692212094125E3
2.146785114890E2,1.722644721924E3
2.145316067142E2,1.753624648043E3
2.143021515990E2,1.797090552677E3
2.140176629235E2,1.849828838237E3
2.138707581488E2,1.883096034898E3
2.137198593773E2,1.911227571040E3
2.135037191327E2,1.951310809068E3
2.132742640175E2,1.999676626480E3
2.129897753420E2,2.058360100610E3
2.128428705672E2,2.095377509383E3
2.126959657925E2,2.133060636731E3
2.125490610178E2,2.171421454892E3
2.123981622463E2,2.203860279044E3
2.121820220018E2,2.250080759265E3
2.120351172270E2,2.290546059391E3
2.118056621118E2,2.347320270843E3
2.115171794395E2,2.408978608437E3
2.113010391950E2,2.459500934731E3
2.111541344202E2,2.503732433122E3
2.109246793050E2,2.565790750612E3
2.106361966327E2,2.633187771062E3
2.104200563882E2,2.688412326106E3
2.101906012729E2,2.755048178831E3
2.099061125974E2,2.835899150627E3
2.097552138259E2,2.878264594541E3
2.095390735813E2,2.938629025547E3
2.093235161817E2,2.991297194262E3
2.090988050987E2,3.044884898064E3
2.089030063726E2,3.108799181664E3
2.087709592660E2,3.137875836094E3
2.084217585542E2,3.233162477908E3
2.082671620847E2,3.259434418590E3
2.079814900715E2,3.350068183628E3
2.078268936020E2,3.377290073403E3
2.076310948760E2,3.448181776300E3
2.073943168141E2,3.533626846580E3
2.072397203447E2,3.562340292174E3
2.070439216186E2,3.637116329802E3
2.068283642190E2,3.702303277466E3
2.066036531360E2,3.768628325944E3
2.064567483613E2,3.836403082759E3
2.062411909616E2,3.905161787265E3
2.060164798786E2,3.975120951991E3
2.057797018167E2,4.073623441462E3
2.056251053473E2,4.106724776190E3
2.054293066212E2,4.192927828456E3
2.052137492216E2,4.268076419298E3
2.049064877981E2,4.373568169951E3
2.045322242920E2,4.514039282101E3
2.043042998993E2,4.568503344596E3
2.041085011733E2,4.664399455013E3
2.038929437736E2,4.747998090742E3
2.036682326906E2,4.833056277481E3
2.034526752910E2,4.919677698973E3
2.031380909208E2,5.041242382607E3
2.029834944513E2,5.082206368098E3
2.026978224381E2,5.223525210170E3
2.025432259687E2,5.265970384332E3
2.022496393400E2,5.408314421040E3
2.020582185298E2,5.453444858726E3
2.017441544629E2,5.585554601082E3
2.015162300702E2,5.652947013033E3
2.012305580570E2,5.810136207708E3
2.010759615875E2,5.857348049006E3
2.007902895743E2,6.020220940019E3
2.005721086761E2,6.097925372438E3
2.004514961654E2,6.144287341565E3
2.002449432160E2,6.189918238079E3
1.999101984505E2,6.348454468459E3
1.996920175522E2,6.430395489581E3
1.993790851177E2,6.555867081951E3
1.990502119919E2,6.703722064440E3
1.988755108572E2,6.748982554535E3
1.985898388440E2,6.936648763006E3
1.983716579458E2,7.026181748653E3
1.980782942378E2,7.151622345725E3
1.977849305299E2,7.279302472594E3
1.976643180193E2,7.334646343811E3
1.974323878645E2,7.404445588379E3
1.970517441808E2,7.540574266677E3
1.967583804729E2,7.675198472556E3
1.964650167649E2,7.812226166043E3
1.963444042543E2,7.871621807381E3
1.961124740995E2,7.946531111787E3
1.957318304158E2,8.092625882069E3
1.956112179052E2,8.154153376814E3
1.954046649558E2,8.214710656806E3
1.950591611060E2,8.390058899985E3
1.947052803588E2,8.532755719779E3
1.945481965980E2,8.587927602362E3
1.942654577176E2,8.683979218088E3
1.939720940097E2,8.839016986401E3
1.938331562634E2,8.891653454352E3
1.934730924111E2,8.989820466573E3
1.930631272180E2,9.165824238804E3
1.929085731831E2,9.192203082745E3
1.927204150481E2,9.222669305464E3
1.924866653027E2,9.306243064216E3
1.921935307077E2,9.385403980489E3
1.919198855786E2,9.480044142436E3
1.917809478323E2,9.536497935934E3
1.914605610871E2,9.637792836776E3
1.911674264922E2,9.719773987122E3
1.908937813631E2,9.817785855992E3
1.905811449178E2,9.890765358998E3
1.903074997887E2,9.990501463837E3
1.899948633434E2,1.006476483058E4
1.897017163640E2,1.015544094359E4
1.894427679046E2,1.023702572075E4
1.892621228358E2,1.024051113817E4
1.889884777067E2,1.034377399553E4
1.887100273970E2,1.041577996900E4
1.885635684638E2,1.041444346544E4
1.883365013871E2,1.043576442002E4
1.878735451450E2,1.059669230324E4
1.876843690230E2,1.059493603449E4
1.873914511565E2,1.059221722489E4
1.872449922233E2,1.059085808173E4
1.870984775599E2,1.061328923837E4
1.868419236409E2,1.071860063235E4
1.865122517157E2,1.077579078840E4
1.863657927825E2,1.077440808995E4
1.862193338493E2,1.077302556892E4
1.860728749160E2,1.077164322529E4
1.859264159828E2,1.077026105904E4
1.857799013194E2,1.079307218643E4
1.856333309258E2,1.084023045067E4
1.854868162624E2,1.086318977137E4
1.853403573292E2,1.086179585830E4
1.851938983960E2,1.086040212409E4
1.850474394627E2,1.085900856872E4
1.848684340999E2,1.085730557720E4
