Dataset x,Dataset y
2.059787387947E2,1.927769208348E-1
2.081615291529E2,1.771713701349E-1
2.108779497501E2,1.756859526758E-1
2.126945860261E2,1.897720840012E-1
2.140626635503E2,2.151775232262E-1
2.161113129736E2,2.440984949446E-1
2.182375667944E2,2.786711201622E-1
2.202123453650E2,3.118343322021E-1
2.221884573445E2,3.485310777494E-1
2.242392402219E2,3.831057030795E-1
2.262870895999E2,4.099065546935E-1
2.282557344897E2,4.268155125995E-1
2.302974501869E2,4.373621100795E-1
2.324845074535E2,4.330638666032E-1
2.342144721516E2,4.174703165794E-1
2.365444708517E2,3.919668718335E-1
2.383421727217E2,3.558768273541E-1
2.404396249109E2,3.141251288123E-1
2.423840017592E2,2.667237768841E-1
2.444801205396E2,2.214385448349E-1
2.462762223190E2,1.811082601467E-1
2.482987369284E2,1.407719751205E-1
2.503996559807E2,1.082074636979E-1
2.523517666005E2,8.130060611242E-2
2.543809482542E2,5.863198862312E-2
2.564119966804E2,4.091031804414E-2
2.585214495495E2,3.096042106872E-2
2.606311691003E2,2.171723079478E-2
