"sulfite,shortwave x","sulfite,shortwave y","sulfite,longwave x","sulfite,longwave y","bisulfite,shortwave x","bisulfite,shortwave y","bisulfite, longwave x","bisulfite, longwave y"
2.438816425353E2,9.556451659740E0,2.537064338814E2,2.463090033430E0,2.019063529188E2,1.299852119567E2,2.201029105438E2,2.310643883714E0
2.438803283103E2,9.645588269121E0,2.535001640289E2,2.486080851108E0,2.019050386938E2,1.311976327878E2,2.198966406912E2,2.332211748277E0
2.436740584577E2,9.735621503098E0,2.534988498039E2,2.509269459767E0,2.019037244688E2,1.324213623227E2,2.198953264662E2,2.353965162097E0
2.436727442327E2,9.826429296817E0,2.534975355788E2,2.532674357279E0,2.017999324300E2,1.336569536930E2,2.198940122412E2,2.375921478167E0
2.436714300077E2,9.918084088891E0,2.532912657263E2,2.556314684508E0,2.016961403913E2,1.349040740645E2,2.198926980162E2,2.398082589033E0
2.436020162777E2,9.995138109872E0,2.532899515013E2,2.580158390477E0,2.016948261662E2,1.361623749675E2,2.198913837911E2,2.420450404893E0
2.434638459301E2,1.010403402469E1,2.532886372763E2,2.604224495636E0,2.016935119412E2,1.374324125152E2,2.196851139386E2,2.443043218473E0
2.434625317051E2,1.019827814020E1,2.530823674237E2,2.628532681597E0,2.015897199024E2,1.387147607702E2,2.196837997136E2,2.465830398990E0
2.433931179751E2,1.027750900079E1,2.530810531987E2,2.653049991916E0,2.014859278637E2,1.400090743034E2,2.196824854886E2,2.488830124086E0
2.432549476276E2,1.038948131497E1,2.530797389737E2,2.677795984384E0,2.014846136386E2,1.413149914587E2,2.196811712635E2,2.512044376247E0
2.432536334025E2,1.048638790443E1,2.528734691212E2,2.702790896636E0,2.014832994136E2,1.426330893931E2,2.196798570385E2,2.535475156445E0
2.431842196725E2,1.056785710214E1,2.528721548961E2,2.728000841181E0,2.012770295611E2,1.439644460664E2,2.195760649998E2,2.559133055502E0
2.430460493250E2,1.068299272650E1,2.528708406711E2,2.753445928336E0,2.012757153361E2,1.453072564579E2,2.194722729610E2,2.583011700634E0
2.430447351000E2,1.078263700699E1,2.526645708186E2,2.779146967463E0,2.012744011110E2,1.466625917455E2,2.194709587360E2,2.607104419688E0
2.430434208749E2,1.088321070707E1,2.526632565936E2,2.805069113723E0,2.011706090723E2,1.480310645472E2,2.194696445109E2,2.631421860569E0
2.428371510224E2,1.098479607736E1,2.526619423685E2,2.831233045565E0,2.010668170335E2,1.494123062342E2,2.194683302859E2,2.655966119344E0
2.428358367974E2,1.108725539091E1,2.525925286385E2,2.853229016616E0,2.010655028085E2,1.508059308610E2,2.194670160609E2,2.680739311627E0
2.428345225724E2,1.119067038092E1,2.524543582910E2,2.884314628495E0,2.010641885834E2,1.522125543474E2,2.192607462084E2,2.705761697296E0
2.426282527198E2,1.129512562166E1,2.524530440660E2,2.911217712979E0,2.009603965447E2,1.536328124939E2,2.192594319833E2,2.730999351613E0
2.426269384948E2,1.140047949529E1,2.524517298410E2,2.938371732624E0,2.008566045059E2,1.550663227220E2,2.192581177583E2,2.756472407000E0
2.426256242698E2,1.150681604401E1,2.522454599884E2,2.965798894383E0,2.008552902809E2,1.565126844814E2,2.192568035333E2,2.782183059129E0
2.424193544173E2,1.161422223141E1,2.522441457634E2,2.993462013181E0,2.008539760559E2,1.579725369995E2,2.192554893083E2,2.808133524154E0
2.424180401922E2,1.172255243881E1,2.522428315384E2,3.021383156265E0,2.006466840283E2,1.606026086367E2,2.190492194557E2,2.834345024746E0
2.424167259672E2,1.183189308269E1,2.520355395108E2,3.071685913284E0,2.006450777533E2,1.624353913916E2,2.190479052307E2,2.860782023992E0
2.422104561147E2,1.194233358342E1,2.520339332358E2,3.106739721052E0,2.004377857257E2,1.651397647206E2,2.190465910057E2,2.887465611046E0
2.422091418897E2,1.205372420848E1,2.518266412082E2,3.158463572423E0,2.004361794507E2,1.670243250991E2,2.190452767807E2,2.914398085927E0
2.422078276646E2,1.216615381569E1,2.518250349332E2,3.194507679157E0,2.003323874119E2,1.685827882587E2,2.190439625557E2,2.941581770103E0
2.420015578121E2,1.227971435161E1,2.516177429057E2,3.247692771967E0,2.002275731981E2,1.713889350604E2,2.189401705169E2,2.969028950727E0
2.420002435871E2,1.239425185364E1,2.516161366306E2,3.284755154429E0,2.002259669231E2,1.733448104177E2,2.188363784781E2,2.996732234286E0
2.419989293621E2,1.250985768993E1,2.514088446031E2,3.339442769953E0,2.000186748956E2,1.762308137572E2,2.188350642531E2,3.024683879949E0
2.417926595095E2,1.262662640460E1,2.514072383281E2,3.377552195270E0,,,2.188337500281E2,3.052896241096E0
2.417913452845E2,1.274439968549E1,2.511999463005E2,3.433784781014E0,,,2.188324358031E2,3.081371749518E0
2.417900310595E2,1.286327148195E1,2.511983400255E2,3.472970829011E0,,,2.188311215780E2,3.110112859689E0
2.415837612070E2,1.298333900906E1,2.509910479979E2,3.530792031657E0,,,2.186248517255E2,3.139143076507E0
2.415824469819E2,1.310443948222E1,2.509894417229E2,3.571085117812E0,,,2.186235375005E2,3.168423041516E0
2.415811327569E2,1.322666950492E1,2.507821496954E2,3.630539817096E0,,,2.186222232755E2,3.197976111741E0
2.413748629044E2,1.335012903865E1,2.507805434203E2,3.671971216151E0,,,2.186209090504E2,3.227804834538E0
2.413735486794E2,1.347465070001E1,2.505732513928E2,3.733105559700E0,,,2.186195948254E2,3.257911781022E0
2.413722344543E2,1.360033382160E1,2.505716451178E2,3.775707429931E0,,,2.184133249729E2,3.288321573092E0
2.412684424156E2,1.372723521280E1,2.504842390959E2,3.829654780078E0,,,2.184120107479E2,3.318992981897E0
2.411646503768E2,1.385532068987E1,2.503627468152E2,3.882374277263E0,,,2.184106965228E2,3.349950474437E0
2.411633361518E2,1.398455446326E1,2.502753407933E2,3.937845684522E0,,,2.184093822978E2,3.381196719122E0
2.410595441130E2,1.411504092336E1,2.501538485126E2,3.992054550962E0,,,2.184080680728E2,3.412734409253E0
2.409557520742E2,1.424674492074E1,2.500664424907E2,4.049093071203E0,,,2.182017982203E2,3.444589336811E0
2.409544378492E2,1.437962965476E1,,,,,2.182004839952E2,3.476718313666E0
2.408506458104E2,1.451380246493E1,,,,,2.181991697702E2,3.509146969541E0
2.407468537716E2,1.464922720880E1,,,,,2.181978555452E2,3.541878099653E0
2.407455395466E2,1.478586604610E1,,,,,2.181965413202E2,3.574914525293E0
2.406417475078E2,1.492382934876E1,,,,,2.181952270952E2,3.608259094068E0
2.405379554691E2,1.506307995328E1,,,,,2.179889572426E2,3.641939075652E0
2.405366412440E2,1.520357895036E1,,,,,2.179876430176E2,3.675908807549E0
2.404328492053E2,1.534543983005E1,,,,,2.179863287926E2,3.710195387879E0
2.403290571665E2,1.548862437894E1,,,,,2.179850145676E2,3.744801772005E0
2.403277429415E2,1.563309258851E1,,,,,2.179837003426E2,3.779730942857E0
2.402239509027E2,1.577896115499E1,,,,,2.177774304900E2,3.815011466020E0
2.401201588639E2,1.592619078542E1,,,,,2.177761162650E2,3.850595509024E0
2.401188446389E2,1.607474034099E1,,,,,2.177748020400E2,3.886511457746E0
2.400150526001E2,1.622472981472E1,,,,,2.177734878150E2,3.922762407994E0
2.399112605613E2,1.637611880357E1,,,,,2.177721735899E2,3.959351484453E0
2.399099463363E2,1.652886500655E1,,,,,2.175659037374E2,3.996308610203E0
2.399086321113E2,1.668303593066E1,,,,,2.175645895124E2,4.033583679679E0
2.397023622588E2,1.683875765914E1,,,,,2.175632752874E2,4.071206427709E0
2.397010480337E2,1.699581906826E1,,,,,2.175619610623E2,4.109180097223E0
2.396997338087E2,1.715434544807E1,,,,,2.175606468373E2,4.147507961398E0
2.395959417699E2,1.731440845321E1,,,,,2.174912331073E2,4.179730128765E0
2.394921497312E2,1.747596496714E1,,,,,2.173530627598E2,4.225267822299E0
2.394908355061E2,1.763896984785E1,,,,,2.173517485348E2,4.264678480231E0
2.393870434674E2,1.780355476484E1,,,,,2.173504343097E2,4.304456736153E0
2.392832514286E2,1.796967538346E1,,,,,2.173491200847E2,4.344606018789E0
2.392819372036E2,1.813728528642E1,,,,,2.173478058597E2,4.385129788845E0
2.391781451648E2,1.830651986298E1,,,,,2.171415360072E2,4.426061187251E0
2.390743531260E2,1.847733352602E1,,,,,2.171402217821E2,4.467344720218E0
2.390730389010E2,1.864967854691E1,,,,,2.171389075571E2,4.509013320183E0
2.389692468622E2,1.882369413977E1,,,,,2.171375933321E2,4.551070578811E0
2.388654548234E2,1.899933342959E1,,,,,2.171362791071E2,4.593520121266E0
2.388641405984E2,1.917654733939E1,,,,,2.169300092545E2,4.636396663403E0
2.387603485596E2,1.935547901619E1,,,,,2.169286950295E2,4.679642074256E0
2.386565565209E2,1.953608026074E1,,,,,2.169273808045E2,4.723290851278E0
2.386552422958E2,1.971830060957E1,,,,,2.169260665795E2,4.767346756816E0
2.385514502571E2,1.990228725374E1,,,,,2.169247523545E2,4.811813588311E0
2.384476582183E2,2.008799063232E1,,,,,2.169234381294E2,4.856695178624E0
2.384463439933E2,2.027535885622E1,,,,,2.167171682769E2,4.902028232573E0
2.383425519545E2,2.046454327475E1,,,,,2.167158540519E2,4.947751288713E0
2.382387599157E2,2.065549292686E1,,,,,2.167145398269E2,4.993900820950E0
2.382374456907E2,2.084815445754E1,,,,,2.167132256019E2,5.040480807184E0
2.381336536519E2,2.104268349184E1,,,,,2.167119113768E2,5.087495262423E0
2.380298616131E2,2.123902762903E1,,,,,2.165056415243E2,5.134982635774E0
2.380285473881E2,2.143713200676E1,,,,,2.165043272993E2,5.182878545017E0
2.379247553493E2,2.163715664665E1,,,,,2.165030130743E2,5.231221197373E0
2.378209633106E2,2.183904766756E1,,,,,2.165016988492E2,5.280014759780E0
2.378196490855E2,2.204274865727E1,,,,,2.165003846242E2,5.329263438047E0
2.377158570468E2,2.224842415812E1,,,,,2.164990703992E2,5.378971477211E0
2.377145428217E2,2.245594355592E1,,,,,2.162928005467E2,5.429179529230E0
2.376107507830E2,2.266547447738E1,,,,,2.162914863216E2,5.479819523255E0
2.375069587442E2,2.287696048068E1,,,,,2.162901720966E2,5.530931855501E0
2.375056445192E2,2.309034247253E1,,,,,2.162888578716E2,5.582520931642E0
2.374018524804E2,2.330579281525E1,,,,,2.162875436466E2,5.634591198449E0
2.372980604416E2,2.352325347247E1,,,,,2.160812737940E2,5.687185239743E0
2.372967462166E2,2.374266368149E1,,,,,2.160799595690E2,5.740231749812E0
2.371929541778E2,2.396420067399E1,,,,,2.160786453440E2,5.793773044579E0
2.370891621390E2,2.418780477404E1,,,,,2.160773311190E2,5.847813739086E0
2.370878479140E2,2.441341350233E1,,,,,2.160760168940E2,5.902358491422E0
2.369840558752E2,2.464120909749E1,,,,,2.159722248552E2,5.957431956069E0
2.368802638365E2,2.487113019769E1,,,,,2.158684328164E2,6.013019297756E0
2.368789496114E2,2.510311255853E1,,,,,2.158671185914E2,6.069104984309E0
2.367751575727E2,2.533734356704E1,,,,,2.158658043664E2,6.125713803098E0
2.366713655339E2,2.557376012784E1,,,,,2.158644901414E2,6.182850633575E0
2.366700513089E2,2.581229618161E1,,,,,2.158631759163E2,6.240520400703E0
2.365662592701E2,2.605314440919E1,,,,,2.156569060638E2,6.298770267658E0
2.364624672313E2,2.629623993273E1,,,,,2.156555918388E2,6.357521260696E0
2.364611530063E2,2.654151482664E1,,,,,2.156542776138E2,6.416820246284E0
2.363573609675E2,2.678916721519E1,,,,,2.156529633887E2,6.476672335755E0
2.362535689287E2,2.703913038766E1,,,,,2.156516491637E2,6.537082688115E0
2.362522547037E2,2.729133449952E1,,,,,2.155478571249E2,6.598078609126E0
2.361484626649E2,2.754598327219E1,,,,,2.154440650862E2,6.659643668169E0
2.360446706262E2,2.780300811034E1,,,,,2.154427508611E2,6.721760662782E0
2.360433564011E2,2.806233719625E1,,,,,2.154414366361E2,6.784457045904E0
2.360420421761E2,2.832408514183E1,,,,,2.154401224111E2,6.847738221710E0
2.358357723236E2,2.858846600836E1,,,,,2.153363303723E2,6.911632793586E0
2.358344580986E2,2.885512135473E1,,,,,2.152325383336E2,6.976123550097E0
2.358331438735E2,2.912426389554E1,,,,,2.152312241085E2,7.041192471284E0
2.356268740210E2,2.939611373949E1,,,,,2.152299098835E2,7.106868314707E0
2.356255597960E2,2.967030231921E1,,,,,2.152285956585E2,7.173156741358E0
2.355217677572E2,2.994714865923E1,,,,,2.152272814335E2,7.240063465030E0
2.354179757184E2,3.022657818479E1,,,,,2.151234893947E2,7.307618727873E0
2.354166614934E2,3.050851281791E1,,,,,2.150196973559E2,7.375804332365E0
2.353128694546E2,3.079318029525E1,,,,,2.150183831309E2,7.444601226134E0
2.352090774159E2,3.108050393525E1,,,,,2.150170689059E2,7.514039814338E0
2.352077631908E2,3.137040345416E1,,,,,2.150157546809E2,7.584126082301E0
2.351039711521E2,3.166311302240E1,,,,,2.149119626421E2,7.654891709343E0
2.350001791133E2,3.195855379208E1,,,,,2.148081706033E2,7.726317633157E0
2.349988648883E2,3.225664321137E1,,,,,2.148068563783E2,7.798383895965E0
2.348950728495E2,3.255762206620E1,,,,,2.148055421533E2,7.871122347839E0
2.347912808107E2,3.286140928117E1,,,,,2.148042279282E2,7.944539258538E0
2.347899665857E2,3.316791997228E1,,,,,2.147004358895E2,8.018667812849E0
2.346861745469E2,3.347740172786E1,,,,,2.145956216757E2,8.152142643044E0
2.345823825081E2,3.378977118207E1,,,,,2.145940154006E2,8.245174173342E0
2.345810682831E2,3.410494105288E1,,,,,2.145927011756E2,8.322080005730E0
2.344772762443E2,3.442316592317E1,,,,,2.145913869506E2,8.399703167665E0
2.343734842055E2,3.474436007196E1,,,,,2.144875949118E2,8.478078745177E0
2.343721699805E2,3.506843375142E1,,,,,2.143827806980E2,8.619200705496E0
2.342683779418E2,3.539564873662E1,,,,,2.143811744230E2,8.717562261064E0
2.341645859030E2,3.572591688489E1,,,,,2.143798601980E2,8.798874234345E0
2.340607938642E2,3.605926668453E1,,,,,2.142760681592E2,8.880974379530E0
2.340594796392E2,3.639560499120E1,,,,,2.141712539454E2,9.028802743909E0
2.339556876004E2,3.673520348690E1,,,,,2.141696476704E2,9.131838641685E0
2.338518955616E2,3.707797069318E1,,,,,2.141683334454E2,9.217014726169E0
2.337481035228E2,3.742393617649E1,,,,,2.140645414066E2,9.303016438097E0
2.337467892978E2,3.777300326742E1,,,,,2.140632271816E2,9.389789162098E0
2.336429972590E2,3.812545392982E1,,,,,2.139584129678E2,9.546087008976E0
2.335392052203E2,3.848119322323E1,,,,,2.139568066928E2,9.655026109001E0
2.335378909952E2,3.884012174722E1,,,,,2.139554924677E2,9.745082159247E0
2.334340989565E2,3.920252943138E1,,,,,2.138517004290E2,9.836011139342E0
2.333303069177E2,3.956831865307E1,,,,,2.137468862152E2,9.999736579435E0
2.332265148789E2,3.993752096459E1,,,,,2.137452799402E2,1.011385268821E1
