      Time          Lower         Middle          Upper
    4.4000      -1.585212      -0.893110       0.138829
    4.3990      -2.765784      -1.175427       0.157519
    4.3980      -2.799196      -1.395159       0.147528
    4.3970      -2.811685      -1.546413       0.127958
    4.3960      -2.818715      -1.639405       0.110596
    4.3950      -2.821721      -1.702614       0.097958
    4.3940      -2.824347      -1.754375       0.088469
    4.3930      -2.827867      -1.789103       0.077528
    4.3920      -2.828672      -1.817222       0.065969
    4.3910      -2.828817      -1.836429       0.054775
    4.3900      -2.830791      -1.848750       0.045306
    4.3890      -2.832254      -1.868214       0.039625
    4.3880      -2.831415      -1.881452       0.026292
    4.3870      -2.832968      -1.902714       0.015250
    4.3860      -2.834539      -1.904861       0.012536
    4.3850      -2.831899      -1.915625       0.002536
    4.3840      -2.832802      -1.925000      -0.002016
    4.3830      -2.835496      -1.934423      -0.007779
    4.3820      -2.835121      -1.941154      -0.009354
    4.3810      -2.835121      -1.942679      -0.010250
    4.3800      -2.834444      -1.953393      -0.015375
    4.3790      -2.836253      -1.954821      -0.021361
    4.3780      -2.836825      -1.955962      -0.026531
    4.3770      -2.836403      -1.963500      -0.038225
    4.3760      -2.835361      -1.973971      -0.039225
    4.3750      -2.836143      -1.974130      -0.047464
    4.3740      -2.836027      -1.978167      -0.052472
    4.3730      -2.837191      -1.974310      -0.061531
    4.3720      -2.837256      -1.978953      -0.061225
    4.3710      -2.836438      -1.988906      -0.070205
    4.3700      -2.839099      -1.993537      -0.073018
    4.3690      -2.836029      -1.988167      -0.075225
    4.3680      -2.838103      -1.989861      -0.076327
    4.3670      -2.837706      -1.991383      -0.083063
    4.3660      -2.838580      -1.991250      -0.086531
    4.3650      -2.840250      -1.994697      -0.092472
    4.3640      -2.838373      -1.999583      -0.094607
    4.3630      -2.837758      -1.998902      -0.098708
    4.3620      -2.838871      -1.993649      -0.104450
    4.3610      -2.839668      -1.994394      -0.108708
    4.3600      -2.838024      -1.996892      -0.107464
    4.3590      -2.838579      -1.994833      -0.118063
    4.3580      -2.840604      -1.998333      -0.122781
    4.3570      -2.840254      -1.999595      -0.125375
    4.3560      -2.838918      -2.000405      -0.126225
    4.3550      -2.840837      -1.993148      -0.126917
    4.3540      -2.840119      -2.000128      -0.130205
    4.3530      -2.840257      -2.001875      -0.133583
    4.3520      -2.840396      -1.999194      -0.139225
    4.3510      -2.840265      -1.999531      -0.139354
    4.3500      -2.842279      -1.994464      -0.147464
    4.3490      -2.841497      -1.997237      -0.155225
    4.3480      -2.843105      -1.996618      -0.155659
    4.3470      -2.841518      -1.994362      -0.162450
