      Time          Lower         Middle          Upper
    4.4000      -1.585000      -0.892791       0.139737
    4.3990      -1.585588      -0.892965       0.169545
    4.3980      -1.585938      -0.893693       0.176538
    4.3970      -1.587500      -0.894294       0.179583
    4.3960      -1.587941      -0.895028       0.177500
    4.3950      -1.586750      -0.895519       0.176786
    4.3940      -1.587353      -0.896612       0.175500
    4.3930      -1.587500      -0.897292       0.173125
    4.3920      -1.587500      -0.898325       0.169643
    4.3910      -1.587500      -0.899516       0.167187
    4.3900      -1.587609      -0.900939       0.160833
    4.3890      -1.587500      -0.901714       0.159118
    4.3880      -1.587000      -0.902809       0.156562
    4.3870      -1.587500      -0.903554       0.152083
    4.3860      -1.587174      -0.904207       0.148158
    4.3850      -1.587381      -0.905207       0.145000
    4.3840      -1.587857      -0.906228       0.142333
    4.3830      -1.587955      -0.907076       0.139583
    4.3820      -1.588043      -0.907803       0.136333
    4.3810      -1.587174      -0.908882       0.131562
    4.3800      -1.587750      -0.909708       0.126538
    4.3790      -1.588611      -0.910226       0.124063
    4.3780      -1.589667      -0.911149       0.117813
    4.3770      -1.590217      -0.911829       0.113462
    4.3760      -1.590227      -0.912955       0.111923
    4.3750      -1.590238      -0.913829       0.110357
    4.3740      -1.590714      -0.914706       0.104500
    4.3730      -1.591087      -0.915432       0.101250
    4.3720      -1.591750      -0.916382       0.100294
    4.3710      -1.592250      -0.916943       0.096250
    4.3700      -1.591842      -0.917654       0.091563
    4.3690      -1.592895      -0.917809       0.088929
    4.3680      -1.593250      -0.918606       0.085769
    4.3670      -1.593409      -0.919191       0.081786
    4.3660      -1.593696      -0.919829       0.078333
    4.3650      -1.595000      -0.920608       0.075667
    4.3640      -1.595227      -0.921067       0.071786
    4.3630      -1.595227      -0.921322       0.068636
    4.3620      -1.595870      -0.921802       0.065937
    4.3610      -1.596429      -0.922442       0.063056
    4.3600      -1.597250      -0.923258       0.059583
    4.3590      -1.597632      -0.923807       0.055833
    4.3580      -1.597105      -0.924586       0.053611
    4.3570      -1.597353      -0.925297       0.050333
    4.3560      -1.596563      -0.925914       0.044231
    4.3550      -1.598077      -0.926804       0.042333
    4.3540      -1.598750      -0.927592       0.039615
    4.3530      -1.597813      -0.928131       0.036538
    4.3520      -1.597667      -0.928832       0.035000
    4.3510      -1.598333      -0.929735       0.030263
    4.3500      -1.598929      -0.930274       0.027222
    4.3490      -1.598214      -0.930783       0.023438
    4.3480      -1.597813      -0.931302       0.021000
    4.3470      -1.597353      -0.931619       0.018333
    4.3460      -1.596563      -0.932254       0.014333
    4.3450      -1.596333      -0.932676       0.012333
