      Time          Lower         Middle          Upper
    4.4000       5.947903       6.492599       7.128691
    4.3990       6.059690       6.808490       9.041189
    4.3980       6.082488       7.080122       9.070434
    4.3970       6.097054       7.304559       9.083170
    4.3960       6.104216       7.446094       9.091598
    4.3950       6.109663       7.567069       9.095668
    4.3940       6.115879       7.653167       9.095627
    4.3930       6.119009       7.722708       9.096677
    4.3920       6.125102       7.772143       9.098764
    4.3910       6.127779       7.817045       9.096710
    4.3900       6.132112       7.846429       9.098830
    4.3890       6.136298       7.870185       9.099111
    4.3880       6.138933       7.912895       9.099894
    4.3870       6.142075       7.930937       9.104842
    4.3860       6.143163       7.945000       9.104422
    4.3850       6.142490       7.962143       9.105922
    4.3840       6.143290       7.976324       9.106998
    4.3830       6.145315       7.992250       9.105272
    4.3820       6.152224       8.006739       9.106369
    4.3810       6.154490       8.024130       9.105126
    4.3800       6.155269       8.033958       9.107136
    4.3790       6.156009       8.038056       9.107636
    4.3780       6.155102       8.034412       9.106678
    4.3770       6.159260       8.050652       9.108792
    4.3760       6.162012       8.056765       9.107097
    4.3750       6.164090       8.063864       9.107833
    4.3740       6.162272       8.069118       9.106208
    4.3730       6.161920       8.063036       9.106774
    4.3720       6.163440       8.065000       9.107123
    4.3710       6.167054       8.081667       9.107454
    4.3700       6.166613       8.088600       9.106506
    4.3690       6.166890       8.090600       9.106252
    4.3680       6.166185       8.087813       9.106645
    4.3670       6.165102       8.095192       9.108313
    4.3660       6.168202       8.088684       9.107210
    4.3650       6.170141       8.094464       9.108868
    4.3640       6.172016       8.102059       9.107998
    4.3630       6.174880       8.097759       9.106202
    4.3620       6.176613       8.092500       9.109490
    4.3610       6.175438       8.091458       9.107822
    4.3600       6.175856       8.099250       9.107184
    4.3590       6.177054       8.097292       9.106517
    4.3580       6.175908       8.095536       9.108622
    4.3570       6.178891       8.095526       9.108476
    4.3560       6.178679       8.092292       9.105507
    4.3550       6.176298       8.082586       9.107809
    4.3540       6.179290       8.083654       9.109605
    4.3530       6.179663       8.093000       9.106553
    4.3520       6.179677       8.084038       9.109285
    4.3510       6.180856       8.085625       9.109065
    4.3500       6.182580       8.085192       9.107812
    4.3490       6.184869       8.092333       9.108430
    4.3480       6.185438       8.087000       9.110077
    4.3470       6.188844       8.084565       9.106831
    4.3460       6.191194       8.078704       9.106299
    4.3450       6.191344       8.078393       9.107164
    4.3440       6.190645       8.079762       9.105318
    4.3430       6.190645       8.078529       9.108178
    4.3420       6.188890       8.073889       9.109198
    4.3410       6.191760       8.072500       9.108127
    4.3400       6.191612       8.074318       9.106910
    4.3390       6.192485       8.068654       9.107436
    4.3380       6.191060       8.063421       9.107636
    4.3370       6.193046       8.068611       9.109693
    4.3360       6.190471       8.061000       9.106183
    4.3350       6.191866       8.055500       9.108494
    4.3340       6.191243       8.053036       9.106483
    4.3330       6.193408       8.048333       9.106404
    4.3320       6.192075       8.052500       9.108878
    4.3310       6.191075       8.044600       9.106338
    4.3300       6.190612       8.038906       9.104444
    4.3290       6.190612       8.027083       9.106763
    4.3280       6.193440       8.025000       9.106018
    4.3270       6.197177       8.020208       9.105883
    4.3260       6.195094       8.016111       9.108446
    4.3250       6.198202       8.013696       9.104194
    4.3240       6.196298       8.010263       9.105945
    4.3230       6.197010       8.007500       9.106378
    4.3220       6.197924       7.997800       9.106846
    4.3210       6.198602       7.994474       9.106483
    4.3200       6.197177       7.985000       9.107018
    4.3190       6.199592       7.981964       9.108053
    4.3180       6.196847       7.977632       9.108394
    4.3170       6.197742       7.975000       9.104599
    4.3160       6.198490       7.962143       9.104455
    4.3150       6.197726       7.965962       9.105845
    4.3140       6.196620       7.960250       9.106378
    4.3130       6.196434       7.958654       9.104475
    4.3120       6.198284       7.961087       9.105185
    4.3110       6.196009       7.957381       9.104889
    4.3100       6.196490       7.949750       9.105484
    4.3090       6.196009       7.945526       9.105475
    4.3080       6.199592       7.941897       9.103868
    4.3070       6.198427       7.948125       9.106750
    4.3060       6.202903       7.931563       9.104259
    4.3050       6.200721       7.925667       9.104039
    4.3040       6.200967       7.915000       9.107661
    4.3030       6.201466       7.918529       9.100937
